endpoint,app_telemetry_endpoint,app_requests,average_requests_per_minute,peak_requests_per_minute,app_share_percent,nginx_matching_requests,response_bytes,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,total_request_seconds,total_upstream_seconds,nginx_4xx,nginx_5xx,match
GET /users/me/step-milestones/today,GET /users/me/step-milestones/today,35,0.5833333333333334,3,0.17823496460762844,35,6237,33.77142857142857,18.0,115.0,123.0,123.0,1.182,1.182,0,0,exact normalized path
POST /races/:id/active-impact-receipts/:id/acknowledge,POST /races/:id/active-impact-receipts/:id/acknowledge,35,0.5833333333333334,2,0.17823496460762844,35,1820,38.17142857142857,29.0,109.0,130.0,130.0,1.336,1.335,0,0,exact normalized path
POST /,POST /,34,0.5666666666666667,19,0.1731425370474105,35,4938,3.085714285714286,2.0,12.0,17.0,17.0,0.108,0.093,34,0,exact normalized path
POST /users/me/step-milestones/:id/claim,POST /users/me/step-milestones/:id/claim,28,0.4666666666666667,3,0.14258797168610277,28,2419,95.46428571428571,57.0,307.0,324.0,324.0,2.673,2.669,1,0,exact normalized path
POST /races/:id/active-impact-notices/:id/acknowledge,POST /races/:id/active-impact-notices/:id/acknowledge,25,0.4166666666666667,3,0.1273106890054489,25,1300,47.68,33.0,126.0,150.0,150.0,1.192,1.19,0,0,exact normalized path
GET /races/:id/message-streams,GET /races/:id/message-streams,23,0.38333333333333336,7,0.11712583388501299,23,49804,60.391304347826086,42.0,162.0,236.0,236.0,1.389,1.389,0,0,exact normalized path
GET /steps/calendar,GET /steps/calendar,20,0.3333333333333333,11,0.10184855120435912,20,5717,13.0,10.0,26.0,32.0,32.0,0.26,0.26,0,0,exact normalized path
POST /analytics/notification-open,POST /analytics/notification-open,18,0.3,2,0.0916636960839232,18,342,21.555555555555557,17.0,59.0,59.0,59.0,0.388,0.387,0,0,exact normalized path
GET /friends/:id/profile,GET /friends/:id/profile,17,0.2833333333333333,4,0.08657126852370525,17,5854,58.76470588235294,36.0,154.0,154.0,154.0,0.999,0.999,0,0,exact normalized path
POST /ads/interstitial/permits,POST /ads/interstitial/permits,15,0.25,3,0.07638641340326933,15,4940,49.666666666666664,40.0,104.0,104.0,104.0,0.745,0.742,0,0,exact normalized path
GET /,GET /,14,0.23333333333333334,4,0.07129398584305138,33,85398,2.484848484848485,0.0,10.0,16.0,16.0,0.082,0.082,1,0,exact normalized path
GET /ads/ssv,GET /ads/ssv,11,0.18333333333333332,2,0.05601670316239751,11,121,33.90909090909091,20.0,91.0,91.0,91.0,0.373,0.373,0,0,exact normalized path
GET /races/:id/powerups/sneaky-swap-targets,GET /races/:id/powerups/sneaky-swap-targets,11,0.18333333333333332,2,0.05601670316239751,11,3724,118.0,56.0,518.0,518.0,518.0,1.298,1.298,0,0,exact normalized path
POST /ads/interstitial/permits/:id/cancel,POST /ads/interstitial/permits/:id/cancel,10,0.16666666666666666,1,0.05092427560217956,10,180,27.1,22.0,58.0,58.0,58.0,0.271,0.27,0,0,exact normalized path
GET /shop/bootstrap,GET /shop/bootstrap,10,0.16666666666666666,3,0.05092427560217956,10,38843,45.9,45.0,59.0,59.0,59.0,0.459,0.459,0,0,exact normalized path
POST /index.php,POST /index.php,10,0.16666666666666666,10,0.05092427560217956,10,1480,2.5,2.0,4.0,4.0,4.0,0.025,0.025,10,0,exact normalized path
POST /dashboard,POST /dashboard,10,0.16666666666666666,10,0.05092427560217956,10,1470,3.5,2.0,14.0,14.0,14.0,0.035,0.034,10,0,exact normalized path
POST /daily-reward/claim-box,POST /daily-reward/claim-box,9,0.15,2,0.0458318480419616,9,1154,171.88888888888889,131.0,425.0,425.0,425.0,1.547,1.547,0,0,exact normalized path
POST /races/:id/powerups/open-batch,POST /races/:id/powerups/open-batch,9,0.15,2,0.0458318480419616,9,2547,146.22222222222223,136.0,240.0,240.0,240.0,1.316,1.316,0,0,exact normalized path
POST /signup,POST /signup,9,0.15,9,0.0458318480419616,9,1305,4.777777777777778,2.0,25.0,25.0,25.0,0.043,0.02,9,0,exact normalized path
GET /tournaments/:id,GET /tournaments/:id,8,0.13333333333333333,3,0.04073942048174365,8,8058,24.375,22.0,36.0,36.0,36.0,0.195,0.195,0,0,exact normalized path
GET /steps/stats,GET /steps/stats,8,0.13333333333333333,2,0.04073942048174365,8,1487,44.625,36.0,141.0,141.0,141.0,0.357,0.357,0,0,exact normalized path
POST /races/:id/powerups/:id/discard,POST /races/:id/powerups/:id/d,7,0.11666666666666667,3,0.03564699292152569,7,635,96.57142857142857,91.0,160.0,160.0,160.0,0.676,0.676,0,0,unique prefix (app telemetry truncates raw paths)
GET /races/featured,GET /races/featured,6,0.1,1,0.030554565361307736,6,2189,146.33333333333334,136.0,285.0,285.0,285.0,0.878,0.878,0,0,exact normalized path
POST /coins/claim-ad-reward,POST /coins/claim-ad-reward,6,0.1,2,0.030554565361307736,6,443,40.166666666666664,32.0,80.0,80.0,80.0,0.241,0.241,1,0,exact normalized path
GET /referrals/inviter-race,GET /referrals/inviter-race,6,0.1,1,0.030554565361307736,6,324,48.666666666666664,15.0,194.0,194.0,194.0,0.292,0.292,0,0,exact normalized path
POST /races/results/seen,POST /races/results/seen,6,0.1,2,0.030554565361307736,6,96,81.0,48.0,191.0,191.0,191.0,0.486,0.486,0,0,exact normalized path
POST /admin,POST /admin,6,0.1,6,0.030554565361307736,6,300,2.3333333333333335,2.0,3.0,3.0,3.0,0.014,0.013,6,0,exact normalized path
GET /feedback/threads,GET /feedback/threads,4,0.06666666666666667,2,0.020369710240871825,4,252,31.25,31.0,36.0,36.0,36.0,0.125,0.125,0,0,exact normalized path
POST /inbox/read-alerts,POST /inbox/read-alerts,4,0.06666666666666667,2,0.020369710240871825,4,0,31.0,20.0,54.0,54.0,54.0,0.124,0.124,0,0,exact normalized path
POST /ads/interstitial/impressions,POST /ads/interstitial/impressions,4,0.06666666666666667,1,0.020369710240871825,4,512,42.25,32.0,57.0,57.0,57.0,0.169,0.166,0,0,exact normalized path
POST /races/:id/powerups/:id/reroll,POST /races/:id/powerups/:id/r,4,0.06666666666666667,1,0.020369710240871825,4,504,343.0,112.0,1030.0,1030.0,1030.0,1.372,1.372,0,0,unique prefix (app telemetry truncates raw paths)
GET /.well-known/apple-app-site-association,GET /.well-known/apple-app-site-association,4,0.06666666666666667,2,0.020369710240871825,4,664,3.0,3.0,4.0,4.0,4.0,0.012,0.012,0,0,exact normalized path
POST //wp-json/batch/v1,POST //wp-json/batch/v1,4,0.06666666666666667,4,0.020369710240871825,4,620,2.0,2.0,2.0,2.0,2.0,0.008,0.008,4,0,exact normalized path
POST /blog/wp-json/batch/v1,POST /blog/wp-json/batch/v1,4,0.06666666666666667,4,0.020369710240871825,4,632,2.0,2.0,2.0,2.0,2.0,0.008,0.008,4,0,exact normalized path
POST /wordpress/wp-json/batch/v1,POST /wordpress/wp-json/batch/v1,4,0.06666666666666667,4,0.020369710240871825,4,640,2.0,2.0,2.0,2.0,2.0,0.008,0.008,4,0,exact normalized path
POST /wp-json/batch/v1,POST /wp-json/batch/v1,4,0.06666666666666667,4,0.020369710240871825,4,620,2.0,2.0,2.0,2.0,2.0,0.008,0.009,4,0,exact normalized path
POST /wp-json/batch/v1/,POST /wp-json/batch/v1/,4,0.06666666666666667,4,0.020369710240871825,4,620,2.25,2.0,3.0,3.0,3.0,0.009,0.009,4,0,exact normalized path
POST /wp-json/Batch/v1,POST /wp-json/Batch/v1,4,0.06666666666666667,4,0.020369710240871825,4,620,2.75,2.0,4.0,4.0,4.0,0.011,0.011,4,0,exact normalized path
GET /favicon-32.png,GET /favicon-32.png,3,0.05,1,0.015277282680653868,2,4928,3.0,2.0,4.0,4.0,4.0,0.006,0.006,0,0,exact normalized path
POST /shop/powerups/purchase,POST /shop/powerups/purchase,3,0.05,1,0.015277282680653868,3,527,129.0,60.0,270.0,270.0,270.0,0.387,0.387,0,0,exact normalized path
POST /steps/samples,POST /steps/samples,3,0.05,1,0.015277282680653868,3,35,125.33333333333333,128.0,192.0,192.0,192.0,0.376,0.376,0,0,exact normalized path
POST /steps,POST /steps,3,0.05,1,0.015277282680653868,3,546,76.33333333333333,80.0,86.0,86.0,86.0,0.229,0.229,0,0,exact normalized path
POST /races/:id/powerups/redeem,POST /races/:id/powerups/redeem,3,0.05,1,0.015277282680653868,3,1024,105.0,76.0,202.0,202.0,202.0,0.315,0.315,0,0,exact normalized path
GET /apple-touch-icon.png,GET /apple-touch-icon.png,3,0.05,2,0.015277282680653868,2,95900,4.5,3.0,6.0,6.0,6.0,0.009,0.009,0,0,exact normalized path
GET /robots.txt,GET /robots.txt,3,0.05,1,0.015277282680653868,6,7190,2.3333333333333335,0.0,6.0,6.0,6.0,0.014,0.014,3,0,exact normalized path
GET /wp-json/gravitysmtp/v1/tests/mock-data,GET /wp-json/gravitysmtp/v1/tests/mock-data,3,0.05,3,0.015277282680653868,3,5965,4.0,4.0,6.0,6.0,6.0,0.012,0.012,3,0,exact normalized path
POST /signin,POST /signin,3,0.05,3,0.015277282680653868,3,435,3.6666666666666665,3.0,6.0,6.0,6.0,0.011,0.007,3,0,exact normalized path
POST /wp/,POST /wp/,3,0.05,3,0.015277282680653868,3,429,1.6666666666666667,2.0,2.0,2.0,2.0,0.005,0.005,3,0,exact normalized path
GET /web-assets/SiteFooter-B7Jx3J6e.js,GET /web-assets/SiteFooter-B7Jx3J6e.js,2,0.03333333333333333,1,0.010184855120435913,2,57604,14.5,9.0,20.0,20.0,20.0,0.029,0.029,0,0,exact normalized path
GET /web-assets/index-unIquMu4.js,GET /web-assets/index-unIquMu4.js,2,0.03333333333333333,1,0.010184855120435913,2,35346,8.0,6.0,10.0,10.0,10.0,0.016,0.016,0,0,exact normalized path
PUT /races/:id/respond,PUT /races/:id/respond,2,0.03333333333333333,1,0.010184855120435913,2,1153,210.0,192.0,228.0,228.0,228.0,0.42,0.42,0,0,exact normalized path
PUT /races/:id/favorite,PUT /races/:id/favorite,2,0.03333333333333333,1,0.010184855120435913,2,224,21.5,20.0,23.0,23.0,23.0,0.043,0.043,0,0,exact normalized path
DELETE /notifications/device-token,DELETE /notifications/device-token,2,0.03333333333333333,1,0.010184855120435913,2,118,80.5,48.0,113.0,113.0,113.0,0.161,0.161,0,0,exact normalized path
GET /app-ads.txt,GET /app-ads.txt,2,0.03333333333333333,1,0.010184855120435913,2,322,6.5,5.0,8.0,8.0,8.0,0.013,0.013,0,0,exact normalized path
POST /daily-reward/claim-extra-box,POST /daily-reward/claim-extra-box,2,0.03333333333333333,1,0.010184855120435913,2,278,126.5,54.0,199.0,199.0,199.0,0.253,0.253,0,0,exact normalized path
PUT /auth/me/leaderboard-visibility,PUT /auth/me/leaderboard-visibility,2,0.03333333333333333,2,0.010184855120435913,2,2455,25.5,24.0,27.0,27.0,27.0,0.051,0.051,0,0,exact normalized path
POST /wp/index.php,POST /wp/index.php,2,0.03333333333333333,2,0.010184855120435913,2,300,2.0,2.0,2.0,2.0,2.0,0.004,0.004,2,0,exact normalized path
GET /reviews/ios,GET /reviews/ios,1,0.016666666666666666,1,0.005092427560217956,1,1588,148.0,148.0,148.0,148.0,148.0,0.148,0.148,0,0,exact normalized path
GET /web-assets/SiteFooter-XuyO-QMJ.css,GET /web-assets/SiteFooter-XuyO-QMJ.css,1,0.016666666666666666,1,0.005092427560217956,1,8774,6.0,6.0,6.0,6.0,6.0,0.006,0.006,0,0,exact normalized path
GET /web-assets/trail_ground-IvNzw0ZZ.png,GET /web-assets/trail_ground-IvNzw0ZZ.png,1,0.016666666666666666,1,0.005092427560217956,1,256062,114.0,114.0,114.0,114.0,114.0,0.114,0.016,0,0,exact normalized path
GET /web-assets/trail_mine-Cqqu5wWD.png,GET /web-assets/trail_mine-Cqqu5wWD.png,1,0.016666666666666666,1,0.005092427560217956,1,13076,4.0,4.0,4.0,4.0,4.0,0.004,0.004,0,0,exact normalized path
GET /web-assets/wrong_turn-8wsZKMY2.png,GET /web-assets/wrong_turn-8wsZKMY2.png,1,0.016666666666666666,1,0.005092427560217956,1,6110,3.0,3.0,3.0,3.0,3.0,0.003,0.003,0,0,exact normalized path
GET /icon-192.png,GET /icon-192.png,1,0.016666666666666666,1,0.005092427560217956,1,53899,14.0,14.0,14.0,14.0,14.0,0.014,0.014,0,0,exact normalized path
GET /web-assets/app-store-badge-CVyK0T4N.svg,GET /web-assets/app-store-badge-CVyK0T4N.svg,1,0.016666666666666666,1,0.005092427560217956,1,3978,17.0,17.0,17.0,17.0,17.0,0.017,0.017,0,0,exact normalized path
GET /web-assets/capybara_walk_right-zO7gPMEH.png,GET /web-assets/capybara_walk_right-zO7gPMEH.png,1,0.016666666666666666,1,0.005092427560217956,1,2470,6.0,6.0,6.0,6.0,6.0,0.006,0.006,0,0,exact normalized path
GET /web-assets/protein_shake-7P-rkKVZ.png,GET /web-assets/protein_shake-7P-rkKVZ.png,1,0.016666666666666666,1,0.005092427560217956,1,3735,4.0,4.0,4.0,4.0,4.0,0.004,0.004,0,0,exact normalized path
GET /web-assets/rainstorm-DPzTxPEp.png,GET /web-assets/rainstorm-DPzTxPEp.png,1,0.016666666666666666,1,0.005092427560217956,1,19828,3.0,3.0,3.0,3.0,3.0,0.003,0.003,0,0,exact normalized path
GET /web-assets/runners_high-CKr9XeFl.png,GET /web-assets/runners_high-CKr9XeFl.png,1,0.016666666666666666,1,0.005092427560217956,1,4436,4.0,4.0,4.0,4.0,4.0,0.004,0.004,0,0,exact normalized path
GET /web-assets/stealth_mode-Dmz-uV7g.png,GET /web-assets/stealth_mode-Dmz-uV7g.png,1,0.016666666666666666,1,0.005092427560217956,1,5290,2.0,2.0,2.0,2.0,2.0,0.002,0.002,0,0,exact normalized path
GET /.well-known/assetlinks.json,GET /.well-known/assetlinks.json,1,0.016666666666666666,1,0.005092427560217956,1,233,3.0,3.0,3.0,3.0,3.0,0.003,0.003,0,0,exact normalized path
GET /r/:token,GET /r/:token,1,0.016666666666666666,1,0.005092427560217956,1,3990,77.0,77.0,77.0,77.0,77.0,0.077,0.077,0,0,exact normalized path
GET /share-card.png,GET /share-card.png,1,0.016666666666666666,1,0.005092427560217956,1,69128,4.0,4.0,4.0,4.0,4.0,0.004,0.004,0,0,exact normalized path
GET /apple-touch-icon-precomposed.png,GET /apple-touch-icon-precomposed.png,1,0.016666666666666666,1,0.005092427560217956,1,47950,5.0,5.0,5.0,5.0,5.0,0.005,0.005,0,0,exact normalized path
GET /favicon.ico,GET /favicon.ico,1,0.016666666666666666,1,0.005092427560217956,1,2464,2.0,2.0,2.0,2.0,2.0,0.002,0.002,0,0,exact normalized path
GET /challenges/current,GET /challenges/current,1,0.016666666666666666,1,0.005092427560217956,1,1985,6.0,6.0,6.0,6.0,6.0,0.006,0.006,1,0,exact normalized path
POST /auth/me/profile-photo/prompt-dismiss,POST /auth/me/profile-photo/prompt-dismiss,1,0.016666666666666666,1,0.005092427560217956,1,1247,29.0,29.0,29.0,29.0,29.0,0.029,0.029,0,0,exact normalized path
POST /races/:id/join,POST /races/:id/join,1,0.016666666666666666,1,0.005092427560217956,1,962,280.0,280.0,280.0,280.0,280.0,0.28,0.28,0,0,exact normalized path
GET /wp-admin/install.php,GET /wp-admin/install.php,1,0.016666666666666666,1,0.005092427560217956,4,3163,1.25,0.0,5.0,5.0,5.0,0.005,0.005,1,0,exact normalized path
GET /feed/,GET /feed/,1,0.016666666666666666,1,0.005092427560217956,2,2168,2.5,0.0,5.0,5.0,5.0,0.005,0.005,1,0,exact normalized path
POST /races/results/double-payout/offer,POST /races/results/double-payout/offer,1,0.016666666666666666,1,0.005092427560217956,1,229,100.0,100.0,100.0,100.0,100.0,0.1,0.099,0,0,exact normalized path
GET /assets/powerups/hitchhike@41ae2b8a805a.png,GET /assets/powerups/hitchhike@41ae2b8a805a.png,1,0.016666666666666666,1,0.005092427560217956,1,10742,8.0,8.0,8.0,8.0,8.0,0.008,0.008,0,0,exact normalized path
GET /livewire/update,GET /livewire/update,1,0.016666666666666666,1,0.005092427560217956,1,1985,3.0,3.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /index.php,GET /index.php,1,0.016666666666666666,1,0.005092427560217956,1,1990,3.0,3.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /wp-json/,GET /wp-json/,1,0.016666666666666666,1,0.005092427560217956,1,1985,3.0,3.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
POST /register,POST /register,1,0.016666666666666666,1,0.005092427560217956,1,0,2.0,2.0,2.0,2.0,2.0,0.002,0.001,1,0,exact normalized path
GET /_rNd9xZ7kL3,GET /_rNd9xZ7kL3,1,0.016666666666666666,1,0.005092427560217956,2,2168,4.5,0.0,9.0,9.0,9.0,0.009,0.009,1,0,exact normalized path
GET /sitemap.xml,GET /sitemap.xml,1,0.016666666666666666,1,0.005092427560217956,3,2689,1.0,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.dev.vars,HEAD /.dev.vars,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.env,HEAD /.env,1,0.016666666666666666,1,0.005092427560217956,2,0,2.0,0.0,4.0,4.0,4.0,0.004,0.004,1,0,exact normalized path
HEAD /.env.dist,HEAD /.env.dist,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.env.save,HEAD /.env.save,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.env.test,HEAD /.env.test,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.git/config,HEAD /.git/config,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /config.json,HEAD /config.json,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /wp-config.php.bak,HEAD /wp-config.php.bak,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /sitemap-index.xml,GET /sitemap-index.xml,1,0.016666666666666666,1,0.005092427560217956,2,2168,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /sitemap_index.xml,GET /sitemap_index.xml,1,0.016666666666666666,1,0.005092427560217956,2,2168,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.aws/credentials,HEAD /.aws/credentials,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.env.backup,HEAD /.env.backup,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.env.bak,HEAD /.env.bak,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.env.local,HEAD /.env.local,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.env.old,HEAD /.env.old,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.env.production,HEAD /.env.production,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /.env.sample,HEAD /.env.sample,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.git/HEAD,HEAD /.git/HEAD,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /secrets.json,HEAD /secrets.json,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
HEAD /wp-config.php,HEAD /wp-config.php,1,0.016666666666666666,1,0.005092427560217956,2,0,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
POST /api/auth/signin,POST /api/auth/signin,1,0.016666666666666666,1,0.005092427560217956,1,150,4.0,4.0,4.0,4.0,4.0,0.004,0.004,1,0,exact normalized path
GET /admin,GET /admin,1,0.016666666666666666,1,0.005092427560217956,2,228,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /dashboard,GET /dashboard,1,0.016666666666666666,1,0.005092427560217956,2,4982,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /login,GET /login,1,0.016666666666666666,1,0.005092427560217956,2,2168,1.5,0.0,3.0,3.0,3.0,0.003,0.003,1,0,exact normalized path
GET /pricing,GET /pricing,1,0.016666666666666666,1,0.005092427560217956,2,2168,2.5,0.0,5.0,5.0,5.0,0.005,0.005,1,0,exact normalized path
HEAD /.continue/config.json,HEAD /.continue/config.json,1,0.016666666666666666,1,0.005092427560217956,2,0,1.0,0.0,2.0,2.0,2.0,0.002,0.002,1,0,exact normalized path
HEAD /.env.development.local,HEAD /.env.development.local,1,0.016666666666666666,1,0.005092427560217956,2,0,2.0,0.0,4.0,4.0,4.0,0.004,0.004,1,0,exact normalized path
